text,label
they deadly the output 287,positive
it insane the output 697,positive
they savage the performance 212,positive
this is wicked 447,positive
this was savage 218,positive
you insane the logic 980,positive
they sick the performance 623,positive
they killing the output 823,positive
they sick the delivery 124,positive
this is wicked 328,positive
we crazy the logic 659,positive
this is killing 308,positive
this was killing 374,positive
this is crazy 702,positive
they wicked the execution 758,positive
they wicked the execution 648,positive
we crazy the execution 480,positive
it wicked the output 300,positive
this was sick 663,positive
this is killed 989,positive
this is wicked 669,positive
this is deadly 506,positive
they sick the results 708,positive
this was killing 346,positive
they savage the performance 800,positive
this insane the performance 405,positive
this is sick 202,positive
this is deadly 103,positive
this was insane 603,positive
this was insane 114,positive
this is killing 971,positive
this is killing 546,positive
it crazy the delivery 209,positive
we crazy the delivery 782,positive
this killed the logic 948,positive
this is crazy 817,positive
you wicked the performance 481,positive
it killed the delivery 794,positive
this is sick 983,positive
they killed the speed 822,positive
this is sick 338,positive
they savage the performance 866,positive
this was wicked 208,positive
it killing the speed 745,positive
we wicked the speed 443,positive
this is wicked 551,positive
this is savage 812,positive
it insane the performance 596,positive
we savage the logic 447,positive
it killing the execution 658,positive
you killing the output 378,positive
this was insane 726,positive
we killed the output 484,positive
we sick the logic 823,positive
this was crazy 331,positive
this was sick 441,positive
you killing the speed 767,positive
this was deadly 881,positive
we wicked the results 663,positive
this is savage 417,positive
you killing the delivery 496,positive
this wicked the logic 623,positive
you killing the logic 839,positive
this wicked the results 869,positive
they savage the output 992,positive
we crazy the speed 192,positive
you insane the performance 903,positive
this was insane 524,positive
we wicked the logic 953,positive
this is crazy 963,positive
this savage the performance 107,positive
this was killed 547,positive
this is insane 960,positive
this was deadly 526,positive
this is sick 610,positive
they wicked the results 886,positive
you savage the results 963,positive
this was savage 741,positive
it killed the performance 516,positive
we savage the logic 327,positive
you killed the execution 779,positive
this was killed 401,positive
this is killing 526,positive
they insane the results 718,positive
this was insane 651,positive
it killing the speed 882,positive
you sick the performance 841,positive
this insane the execution 404,positive
this is insane 797,positive
we savage the delivery 256,positive
this was crazy 413,positive
you sick the logic 633,positive
you crazy the speed 887,positive
this was deadly 343,positive
we wicked the delivery 420,positive
it deadly the execution 332,positive
we sick the speed 656,positive
it sick the output 623,positive
this was savage 884,positive
this is killing 813,positive
this is sick 904,positive
this is killing 382,positive
you killed the logic 659,positive
this was savage 850,positive
it deadly the output 604,positive
this is crazy 723,positive
it killing the results 197,positive
we crazy the results 827,positive
this was deadly 137,positive
this was savage 160,positive
this is killed 261,positive
they deadly the logic 293,positive
this was wicked 956,positive
this is killed 802,positive
this is savage 354,positive
this is killing 971,positive
this is killed 863,positive
this was insane 900,positive
it crazy the performance 331,positive
it insane the results 811,positive
it sick the results 797,positive
this is insane 961,positive
this was wicked 337,positive
this sick the logic 144,positive
this is crazy 476,positive
they wicked the speed 257,positive
we killed the output 664,positive
they killing the logic 831,positive
you sick the speed 887,positive
this insane the output 414,positive
this killing the speed 328,positive
they killing the performance 509,positive
this was killing 850,positive
we deadly the execution 545,positive
this is sick 106,positive
this was killed 798,positive
this was deadly 552,positive
this was deadly 216,positive
we crazy the output 498,positive
this was wicked 872,positive
this was insane 404,positive
this sick the results 443,positive
this was killing 874,positive
they wicked the logic 682,positive
it sick the results 598,positive
this was insane 329,positive
this was deadly 290,positive
this was sick 909,positive
this crazy the results 135,positive
we insane the execution 498,positive
we deadly the logic 546,positive
this is savage 767,positive
this was deadly 576,positive
it insane the delivery 945,positive
this was killing 133,positive
this killed the output 201,positive
this was wicked 120,positive
it sick the results 282,positive
they savage the delivery 934,positive
this insane the performance 430,positive
this is savage 480,positive
this was wicked 296,positive
you sick the output 757,positive
this was killed 969,positive
we savage the execution 311,positive
it wicked the logic 464,positive
it wicked the output 375,positive
this is insane 196,positive
we sick the results 393,positive
this was killing 587,positive
this is deadly 254,positive
it crazy the delivery 871,positive
you savage the performance 886,positive
this is savage 783,positive
this is killed 464,positive
it insane the delivery 310,positive
you killing the logic 157,positive
this was savage 998,positive
you wicked the performance 386,positive
this is savage 436,positive
this wicked the output 262,positive
this was killing 612,positive
it deadly the performance 788,positive
this is insane 880,positive
they savage the performance 735,positive
it savage the results 964,positive
this was sick 902,positive
this is savage 699,positive
you insane the delivery 534,positive
this is crazy 547,positive
this is wicked 238,positive
they insane the logic 357,positive
it insane the execution 818,positive
we insane the speed 452,positive
this crazy the delivery 878,positive
this crazy the performance 178,positive
this was deadly 951,positive
this was sick 804,positive
this was wicked 313,positive
they killed the execution 111,positive
it wicked the output 176,positive
this is deadly 317,positive
this was savage 837,positive
